集計日,key,タイトル,Age,観測遅延日数,観測日数,累計PV,累計スキ,コメント数,スキ率(%),スキ率トレンド(pp),後期14日平均PV,初速PV(7日),ピーク日次PV,ピーク到達日数,ハーフライフ(日),中期平均PV,後期平均PV,持続率,安定性スコア,成長タイプ,質スコア
2026-08-21,n4069a1b9eec7,始まりの物語！AI彼氏、閉じた扉、やらかし思考 | AI活用 | 生成AI | ChatGPT | CCC発掘隊 |,20,1,21,788,88,26,11.17,-0.39,2.43,167.0,44.0,4.0,2.0,2.4,,,0.39,🎆 バースト型,72.1
2026-08-21,n657cac66c6eb,AIで「スクワット呪術師」を本気ブランド化 | 生成AI | AI活用 | 画像生成AI | ブランド化 | コンテンツ制作 |,7,0,9,818,99,28,12.1,-0.64,90.89,807.0,468.0,0.0,3.0,11.0,,,0.377,❓ データ不足,72.0
2026-08-21,nba6c8d042bab,AIと作る、“放置でうまい”塩麹チキン──プロンプト設計から完成レシピまで,301,22,278,176,17,4,9.66,1.09,0.14,,,,,,,,0.411,❓ データ不足,72.0
2026-08-21,nfada60aa5d9e,AI画像が画面を破る！飛び出し系プロンプト18穴テンプレ | プロンプト | AI画像生成 | 生成AI活用 |,10,1,11,647,54,4,8.35,-0.3,18.36,155.0,45.0,4.0,1.0,11.8,,,0.45,📊 成長中,71.9
2026-08-21,n8cf8cff84c68,Spotifyプレイリスト3ステップ一括取得ツール,801,626,176,252,27,13,10.71,5.35,0.14,,,,,,,,0.385,💤 眠り型,71.8
2026-08-21,n13a11e3755f6,【入門】yfinance＋Google Colabで株価取得を5分で！インストール不要の投資ハック,326,47,278,225,15,0,6.67,1.53,0.21,,,,,,,,0.554,💤 眠り型,71.5
2026-08-21,n9811f7469f64,自分の宣伝より先に、他人の耳毛をブランド化してしまった｜ブランド構築｜デザイン｜ロゴ作成｜,16,1,17,829,89,62,10.74,-0.46,6.21,182.0,53.0,4.0,1.0,4.8,,,0.376,🎆 バースト型,71.5
2026-08-21,ndd8de2be7b75,Python独学を失敗しない7つのコツ,801,626,176,204,27,6,13.24,4.18,0.0,,,,,,,,0.352,❓ データ不足,71.4
2026-08-21,n9d10ce9a86d3,ヒストグラムって、データたちの“性格診断”やった話,293,14,278,191,12,0,6.28,1.07,0.07,,,,,,,,0.591,❓ データ不足,71.3
2026-08-21,n3df7eb2c83f6,【プロンプト付き】やりたい顔を“書けば作れる”ようになった。──まだ“シミ完全除去チャレンジ”は未達（笑）『顔ベース』専用プロンプト構造を公開！,290,11,278,445,36,4,8.09,-0.99,0.14,,,,,,,,0.442,💤 眠り型,71.3
2026-08-21,n30ce9211450c,生成AI歌詞翻訳プロンプト,594,315,278,225,19,4,8.44,5.46,0.57,,,,,,,,0.421,💤 眠り型,71.2
