rank,ranking_type,like_user_id,creator_name,creator_urlname,creator_url,has_profile_url,likes_count,first_like_at,last_like_at,follower_count,generated_at,period_start,period_end
34,monthly,13094187,ミナト汐　＠光と構図のアトリエ,n_kazumai55633,https://note.com/n_kazumai55633,True,15,2026-03-07T07:55:36+09:00,2026-03-30T09:01:38+09:00,330,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
35,monthly,13723919,アプリケンゴ@40代独立目指す,applikengo_25626,https://note.com/applikengo_25626,True,15,2026-03-11T09:13:25+09:00,2026-03-30T06:27:00+09:00,206,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
36,monthly,11905841,顔のない問い,sasoib_ehtal,https://note.com/sasoib_ehtal,True,15,2026-03-01T01:16:27+09:00,2026-03-29T23:52:48+09:00,626,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
37,monthly,12848229,そら,flux_water,https://note.com/flux_water,True,15,2026-03-15T03:19:24+09:00,2026-03-29T21:18:21+09:00,61,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
38,monthly,13137374,宇宙珍獣🦄🌬️ユル勇者あかね🧚,lovely_rose3365,https://note.com/lovely_rose3365,True,15,2026-03-04T14:31:15+09:00,2026-03-29T15:18:47+09:00,662,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
39,monthly,13574554,ホンネタロウ AI漫画,akmistpruqr123,https://note.com/akmistpruqr123,True,14,2026-03-17T09:14:24+09:00,2026-03-30T12:44:33+09:00,413,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
40,monthly,9933409,誠実に、ひたむきに,real_hare9943,https://note.com/real_hare9943,True,14,2026-03-16T15:40:53+09:00,2026-03-30T10:03:01+09:00,2588,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
41,monthly,13125356,EARTH🌎,fast_thyme336,https://note.com/fast_thyme336,True,14,2026-03-01T15:35:56+09:00,2026-03-30T06:24:12+09:00,771,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
42,monthly,10803734,yaema,syousonankei2523,https://note.com/syousonankei2523,True,14,2026-03-03T10:07:19+09:00,2026-03-26T07:08:38+09:00,77,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
43,monthly,7841599,カケルン@HSP フォロバ100,yamaxkake,https://note.com/yamaxkake,True,14,2026-03-02T21:00:13+09:00,2026-03-25T06:10:38+09:00,1379,2026-03-30T16:58:57.510892+09:00,2026-03-01T00:00:00+09:00,2026-03-30T16:49:17+09:00
