key,title,累計PV,累計スキ,前日比PV,前日比スキ,-7日PV,-6日PV,-5日PV,-4日PV,-3日PV,-2日PV,-1日PV,-7日スキ,-6日スキ,-5日スキ,-4日スキ,-3日スキ,-2日スキ,-1日スキ,7日合計PV,7日合計スキ,稼働数PV,稼働数スキ,トレンドスコア,状態,集計日
nef644cd467cd,ワイが手伝えるnote運用とAI活用のこと｜note運用｜AI活用｜生成AI｜ChatGPT｜画像生成AI｜,628,68,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,1,0,-1,🟢 継続,2026-09-13
n43fabcc49eec,note運用のAI診断プロンプト28本 ─「どうしたらいい？」を卒業する | AI活用 | プロンプト | クリエイター支援 | #501,534,47,2,1,160,55,7,13,13,7,2,14,8,0,0,0,0,1,257,23,7,3,-20,🟢 継続,2026-09-13
n062229ac51a2,その先に何が見える？AIイラストが問いかける | AIイラスト | 画像生成AI | AI活用 |,766,114,2,0,67,39,2,4,3,10,2,10,11,0,0,2,0,0,127,23,7,3,-512,🟢 継続,2026-09-13
nc4ec49fe8e28,改めて、ワイって何者なん？たぶん結構、胡散臭い。 | AI活用 | 生成AI | 副業 | クリエイター | 会社員 |,765,144,2,0,7,16,4,4,4,3,2,1,6,0,2,1,1,0,40,11,7,5,-685,🟢 継続,2026-09-13
n18933fba7303,あなたを売る？技術を売る？SNS発信の分かれ道 | AI診断 | ChatGPT | 画像生成AI |,1183,155,2,0,5,3,0,6,5,5,2,1,0,0,2,1,0,0,26,4,6,3,-28,🟢 継続,2026-09-13
n654a9c124c77,会心のプロンプト、もう消えへんで。ポン出しビルダーV3.1の話｜AI活用｜生成AI｜画像生成AI｜プロンプト｜プロンプト設計｜＃410,1282,70,2,1,4,3,1,3,2,9,2,0,0,0,0,0,1,1,24,2,7,2,0,🟢 継続,2026-09-13
nfada60aa5d9e,AI画像が画面を破る！飛び出し系プロンプト18穴テンプレ | プロンプト | AI画像生成 | 生成AI活用 |,719,56,2,0,5,4,2,3,3,1,2,0,0,0,0,0,0,0,20,0,7,0,-5,🟢 継続,2026-09-13
n98b264aec282,作りすぎて作者が迷子になったので、KITAcoreツール図鑑を作った｜生成AI｜画像生成AI｜HTMLツール｜AI活用｜,1073,123,2,0,1,1,0,6,0,4,2,0,0,0,0,0,0,0,14,0,5,0,-2,🟢 継続,2026-09-13
n214601fceec8,自己紹介を1枚図解にする「YAMLプロンプト」入門｜Gemini×画像生成AIで5分完成,935,38,2,0,0,5,2,2,0,1,2,0,0,0,0,0,0,0,12,0,5,0,-1,🟢 継続,2026-09-13
n983ee5e468b3,noteフォロワー増とPVの相関を自分の記事で解析 | note運用 | AI活用 | データ分析 |,709,122,2,0,1,2,0,3,0,1,2,0,0,0,0,0,0,0,9,0,5,0,-49,🟢 継続,2026-09-13
nda4f88e1719c,Claude仕事術100項目完全版 | AIを仕組み化 | Claude | AI活用 | 生成AI |,718,34,2,0,2,2,0,1,2,0,2,0,0,0,0,0,0,0,9,0,5,0,-12,🟢 継続,2026-09-13
n1b959387a7d0,noteで20万ビューを超えた。雑多でも、なんとかなるらしい | note運用 | AI活用 | note初心者 | クリエイター | 振り返り |,1279,214,2,0,0,1,0,1,1,1,2,0,0,0,1,0,0,0,6,1,5,1,-2,🟢 継続,2026-09-13
n49027cde285d,AIに絵を描かせる方法は、プロンプトじゃなく“対話”でやる。,580,80,2,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,6,0,3,0,-6,🟢 継続,2026-09-13
nf5341463d80b,効果的なサムネイルを作成したい | 生成AI | AI活用 | 画像生成AI | サムネ作り方 |,957,116,2,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,6,0,3,0,2,🔥 急上昇,2026-09-13
n34c5cf36467d,ちびキャラ需要、急に暴れ出したので追加Tipsを書きました｜AI活用｜生成AI｜画像生成AI｜ChatGPT｜Codex｜,1225,189,2,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,5,0,3,0,3,🔥 急上昇,2026-09-13
n4f201433d346,GPTs作れない？個人向けChatGPTの仕様変更とWorkspace Agentsへの進化 | ChatGPT | GPTs | 生成AI |,1051,129,2,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,5,0,2,0,-23,🟢 継続,2026-09-13
nbd9c033a6201,ちびキャラ改造プロンプト！壁の落書きで遊んでみた | 生成AI | AI活用 | プロンプト | ちびキャラ | 画像生成 |,1339,143,2,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,5,0,3,0,-1,🟢 継続,2026-09-13
nc26003dfcebd,爆速投資ハック！Excel地獄から5分で脱出！― yfinance＋Google Colab＋Plotlyで「取る→見える」を一撃！ ―,1292,35,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,4,0,2,0,3,🔥 急上昇,2026-09-13
n39a1f65908cc,ワイの1行が、誰かの秘伝のタレになっとった｜AI活用｜ちびキャラ生成｜note運用｜生成AI｜画像生成AI｜,1329,137,2,1,0,0,0,0,0,1,2,0,0,0,0,0,0,1,3,1,2,1,1,🔥 急上昇,2026-09-13
n8043c2285827,目的はないけど勢いで始めた、ちびキャラ生成実験｜AI活用｜生成AI｜ChatGPT｜画像生成AI｜AIイラスト｜,893,164,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,3,0,2,0,1,🔥 急上昇,2026-09-13
n2cb6de9b82ac,【予告｜2/1始動】呪文（プロンプト）の置き場を開墾します。,374,34,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,2,🔥 急上昇,2026-09-13
n8307b08e003d,「モジュールってなんだよ！」 理系研究者がAIに裏切られ、初めてのPythonで叫ぶ,120,22,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,2,🔥 急上昇,2026-09-13
nda146c0ae117,気づいたら、ただの卵に全力を注いでいた｜エッセイ｜日記｜やってみた｜生成AI｜,600,93,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,1,1,1,2,🔥 急上昇,2026-09-13
n8d1b0270ea81,買った直後がピーク？後から好きになるイヤホンの沼 | イヤホン比較 | イヤホン選び方 | オーディオ沼 |,575,73,1,1,293,241,7,12,13,8,1,34,32,0,4,0,2,1,575,73,7,5,575,🔥 急上昇,2026-09-13
nc005d6ec8cde,AI質問術のコツ！noteを読ませる言葉 | AI活用 | ChatGPT | 生成AI |,570,92,1,1,75,34,3,9,5,7,1,8,3,0,0,4,0,1,134,16,7,4,-302,🟢 継続,2026-09-13
n9df01666c1cf,危険なAI画風。深夜の実験ノート公開｜AIアート｜生成AI｜画像生成AI｜,685,54,1,0,5,6,2,3,2,1,1,0,0,0,0,0,0,0,20,0,7,0,-6,🟢 継続,2026-09-13
ne9c67dacf06d,Apple WatchとClaudeが変えるApple Health健康データ活用の未来｜AI活用｜生成AI｜Claude｜Apple Watch｜健康データ｜,866,86,1,0,1,6,1,2,5,4,1,0,0,0,0,0,0,0,20,0,7,0,2,🔥 急上昇,2026-09-13
n64ebfedfc5d5,SNS発信が本業に効く！信用貯金とキャリア成長の真実 | 発信方法 | キャリア形成 | 成功のコツ |,665,69,1,1,2,2,1,1,2,6,1,1,0,0,0,0,0,1,15,2,7,2,-17,🟢 継続,2026-09-13
n0519a73d9cc7,ミスチルで紡ぐ、一人の男の人生と恋の物語 | プレイリスト | 曲順 | 解釈 |,662,96,1,0,0,1,1,1,6,4,1,0,1,-1,0,0,0,0,14,0,6,1,-48,🟢 継続,2026-09-13
n07d869d6422e,アレニウスモデルについてまとめてみる｜故障モードと活性化エネルギーの読み解き方,1167,11,1,0,1,3,1,1,5,2,1,0,0,0,0,0,0,0,14,0,7,0,3,🔥 急上昇,2026-09-13
n40a24a10a626,プロンプト、41%削ったら賢くなってん｜GPT-5.6公式ガイドまとめ | プロンプト | AI活用 | 最適化 | ガイド |,665,42,1,0,2,5,1,1,2,1,1,0,1,0,0,0,0,0,13,1,7,1,2,🔥 急上昇,2026-09-13
ncd243f6ab3c4,ベタベタ・黄ばみ・ヒビ割れ…スマホケースの寿命は“愛用年数”じゃなく科学で決まる！？,206,13,1,0,3,4,1,2,1,1,1,0,0,0,0,0,0,0,13,0,7,0,5,🔥 急上昇,2026-09-13
n3d411879abb4,ネオンとレコードを積んでも、シティポップにはならない｜KINU EDITION｜生成AI｜AI活用｜画像生成AI｜,1032,111,1,0,2,2,2,3,1,1,1,1,0,0,0,0,0,0,12,1,7,1,-3,🟢 継続,2026-09-13
n1267e6a1c315,キャラクターシートから「フィギュア化」できるんか試してみたら、思ったより相性よかった話 | 生成AI | AI活用 | プロンプト |,650,42,1,0,1,3,2,2,1,1,1,0,0,0,0,0,0,0,11,0,7,0,9,🔥 急上昇,2026-09-13
n657cac66c6eb,AIで「スクワット呪術師」を本気ブランド化 | 生成AI | AI活用 | 画像生成AI | ブランド化 | コンテンツ制作 |,866,103,1,0,0,6,0,2,0,0,1,0,1,0,1,0,0,0,9,2,3,2,-2,🟢 継続,2026-09-13
n8894a18d51c1,保有株の損益、もう手計算しない｜Googleスプレッドシート＋Pythonで自動可視化する方法,295,12,1,0,1,3,0,1,1,1,1,0,0,0,0,0,0,0,8,0,6,0,1,🔥 急上昇,2026-09-13
n91146956bd7f,神プロンプトやなくて、AI作業ラインを作る方法｜ループ・エンジニアリング｜実践編｜AI活用｜プロンプト｜,749,47,1,0,1,1,1,1,2,1,1,0,0,0,0,0,0,0,8,0,7,0,3,🔥 急上昇,2026-09-13
ne3d8e731b113,v5でカードが減った？実は隠しデッキが | 生成AI | AI活用 | 画像生成AI |,703,40,1,0,2,1,1,2,1,0,1,0,0,0,0,0,0,0,8,0,6,0,1,🔥 急上昇,2026-09-13
n32ea04bc0223,AGENTS.md使いこなし術！AI指示を自動化 | AI活用 | Codex | プロンプト |,621,68,1,0,1,3,0,0,0,2,1,0,0,0,0,0,0,0,7,0,4,0,-8,🟢 継続,2026-09-13
nda8457554ac7,かわいいだけじゃ物足りない？表情プロンプト | 画像生成AI | プロンプト | AI活用 | 表情 | 作り方 | コツ |,864,70,1,0,2,0,1,2,1,0,1,0,0,0,0,0,0,0,7,0,5,0,2,🔥 急上昇,2026-09-13
ndc6853aa00d6,材料屋だったワイが、noteとAIで遊び始めた話｜note運営｜プロンプト設計｜はじめてのnote｜自己紹介｜,727,102,1,1,3,2,1,0,0,0,1,2,0,0,0,0,0,1,7,3,4,2,0,🟢 継続,2026-09-13
n53ddb87df48b,コピペでイチコロ。「アップスケールなめててごめん」イラストを実写化するプロンプト全公開,1148,20,1,0,2,1,0,0,1,1,1,0,0,0,0,0,0,0,6,0,5,0,-1,🟢 継続,2026-09-13
n4e3675a69791,ロゴ募集を見て、勝手に店舗LPまで作った全工程 | Codexsite | AI活用 | ChatGPT | 生成AI | LP制作 | プロンプト |,615,37,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,5,0,5,0,-1,🟢 継続,2026-09-13
n777df41e23e0,「なにもんですか？」AIがワイのnoteの店構えを10分で建ててきた | CodeX Sites | ChatGPT | 生成AI |,1204,220,1,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,5,0,3,0,-4,🟢 継続,2026-09-13
n15d7b3497c9e,【保存版】勇気があれば誰でもできる、効果絶大な「ユーザーを繋げる秘訣」,343,34,1,0,0,0,0,1,2,0,1,0,0,0,0,1,0,0,4,1,3,1,-11,🟢 継続,2026-09-13
n86e1c6ff59e1,【プロンプト公開版】切り抜き×逆光×投影の再現,270,20,1,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,4,1,3,1,4,🔥 急上昇,2026-09-13
nb731b54c1a13,やらかした会員証｜KITAcore美術館｜ゆきよみ｜ファンクラブ｜,1402,111,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,4,0,3,0,2,🔥 急上昇,2026-09-13
n116978369dbd,ヘッドホンのイヤーパッドがベタベタ/ボロボロになる理由〜愛されすぎた証拠！？ベタベタ星人の科学〜,143,7,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,3,0,3,0,3,🔥 急上昇,2026-09-13
nd71be82fefe9,【AIアート】 ファッションチェンジ,330,44,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,0,2,0,3,🔥 急上昇,2026-09-13
nfa2d9f69716e,【検証】noteのView数が伸びる仕組みを、数式で「構造化」してみた結果,572,61,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,3,1,3,1,1,🔥 急上昇,2026-09-13
n074930ee4989,クリック3回でグラフ爆誕！CSV/Excelを即座に可視化するPython GUIスクリプト,199,10,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,2,0,-1,🟢 継続,2026-09-13
n2331fbbabd23,ちびキャラ？ワイはSNAP KAITAROで推しの熱量を伝えたい｜AI活用｜画像生成｜生成AI｜,1520,271,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,2,0,-3,🟢 継続,2026-09-13
n30e782701b26,世界最速の車で、午前3時に恋をしていた話｜研究開発｜プロボックス｜,723,86,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,2,0,2,🔥 急上昇,2026-09-13
n458fce191bb3,発掘レイド最終点呼！名簿の36名、確認はOK？ | AI活用 | ChatGPTCreativeClub | 生成AI |,834,80,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,2,0,1,🔥 急上昇,2026-09-13
n8af759621330,【探すの面倒くさすぎ】Midjourney V7パラメータ、わかる分だけ全部ここに置いとく“自分用メモ”,655,79,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,1,2,1,-1,🟢 継続,2026-09-13
n8b612ec93167,Midjourneyに手を出してみたら、アメコミ以外ぜんぜん出てこない件。,241,22,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,2,0,1,🔥 急上昇,2026-09-13
n9345169207bd,恩送りで3人紹介！異色な人選の理由を解説 | 恩送り | 企画 | 紹介 |,820,103,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,-4,🟢 継続,2026-09-13
n9b42dc1de3fb,ポン出しビルダー、やらかしたかもしれん｜AI画像プロンプト｜テスター募集｜,1124,104,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,2,0,2,🔥 急上昇,2026-09-13
na347d2af866a,【Nanobanana 解説】JSONプロンプトでポートレートをどこまで変えられるのか,327,34,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,2,0,2,🔥 急上昇,2026-09-13
nbf5b6023ea85,こんなユーザーには気をつけろ！？Noteの闇、覗いちゃいました,408,58,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,-1,🟢 継続,2026-09-13
nc432d1e3e851,メンバーシップ、7月から3つ変えるで｜ポン出しビルダー｜note運用｜AI活用｜生成AI｜画像生成AI｜,898,99,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,2,0,-10,🟢 継続,2026-09-13
ncbec05f185d9,画像生成沼の入口は、たぶんラーメンの注文にある｜AI活用｜ChatGPT｜NanoBanana｜画像生成AI｜,837,78,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,-1,🟢 継続,2026-09-13
ne2ef933ffccb,ポスターの次は漫画ページ。プロンプトが複雑すぎて取説まで作ったログ｜画像生成AI｜生成AI｜AI活用｜PromptBuilder｜,987,56,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,2,0,0,🟢 継続,2026-09-13
n0f919ece03f2,【自己紹介】データ×生成AIで遊ぶログプレイヤー｜note運営｜プロンプト設計｜はじめてのnote｜自己紹介,718,113,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,-1,🟢 継続,2026-09-13
n1cb447965e43,【プロンプトエンジニアリング】プロンプト順序が生成結果に与える影響｜観測ログと構造化テンプレ,440,29,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,-1,🟢 継続,2026-09-13
n204ca8f1a30a,AIを毎日召喚してた人を、召喚してみた話｜創作｜AI活用｜召喚企画｜,667,103,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,🔥 急上昇,2026-09-13
n26a2d7839528,Python環境構築は恋愛だった！？〜初学者エンジニアが辿り着いた、ゆるふわPythonライフ〜,145,19,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,🔥 急上昇,2026-09-13
n3a0830e2cc64,あの314文字の記事が、ちゃんと実験になった話,575,71,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,-1,🟢 継続,2026-09-13
n3d2a1f8d6a8e,「おめでとうございます」ポップアップに、また固まってもうた話,130,17,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,🔥 急上昇,2026-09-13
n3f4909491005,【保存版】AIを最強の部下にする「5つの柵」。変態的プロンプト設計図（インフォグラフィック付）,425,48,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,-1,🟢 継続,2026-09-13
n4069a1b9eec7,始まりの物語！AI彼氏、閉じた扉、やらかし思考 | AI活用 | 生成AI | ChatGPT | CCC発掘隊 |,794,88,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,🟢 継続,2026-09-13
n45823490cfbb,ワイ、キャラクターを勝手に広報担当にしてみた。｜AI動画｜ショート動画｜生成AI｜,860,93,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,-4,🟢 継続,2026-09-13
n69f2daa43697,【AIアート/イラスト】VOW SERIES — Dark Fantasy Art（プロンプト公開）,278,41,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,🟢 継続,2026-09-13
na0945f6b48cb,"5月の月間ランキング発表｜数より""押し方""が効いた月｜note運用｜振り返り｜生成AI｜画像生成AI｜",942,134,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,🟢 継続,2026-09-13
na78164f7ade7,3月の月間ランキング発表｜応援の軌跡を残すアーカイブ｜note運用｜学び｜日記｜日常｜振り返り｜,468,79,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,🔥 急上昇,2026-09-13
nb22642a2ee59,【簡易版】Platformは、なぜ推しのアルゴリズムを公開したのか。,461,48,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,🔥 急上昇,2026-09-13
nb36e7ea11622,動物の頭、人間の体に乗せてみた。獣人デッキ、タダで配るで｜AI活用｜生成AI｜画像生成AI｜＃418,944,129,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,-8,🟢 継続,2026-09-13
nbdce62ffcccf,【47×31=1457】勝負は“発想力”やなくて“運用”やった,163,19,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,🔥 急上昇,2026-09-13
nc32cbcac11b3,プロンプト、毎回ゼロから書いてしんどくない？｜生成AI｜プロンプト｜制作ログ｜,658,84,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,🟢 継続,2026-09-13
ne4b73186f941,【AIアート】その向こうに何があるか。,230,61,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,🔥 急上昇,2026-09-13
neb919b966dce,「Excelでええやん！」って思ってた私が、Python DataFrameに恋した話,259,15,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,🟢 継続,2026-09-13
n3d649d8d7a63,HIX AI課金構造の裏側。ビジネスモデルキャンバスで解説 | HIX AI | 生成AI | AI活用 |,580,51,0,0,0,529,13,11,15,12,0,0,46,2,1,1,1,0,580,51,5,5,580,⚠️ 減速,2026-09-13
n582fa31a9ebf,8月noteランキング発表！継続こそ至高のスキ｜note運用｜振り返り｜スキランキング｜,617,79,0,0,6,10,3,3,2,3,0,0,2,0,0,1,1,0,27,4,6,3,-563,⚠️ 減速,2026-09-13
