ranking_type,date,like_user_id,creator_name,creator_urlname,score_daily,score_cumulative,period_start,period_end,generated_at
last_week,2026-04-06,10332488,ななな（菜奈）｜もやもや減らし屋👀♡🗣️よはくの哲学（ナラティヴ×構造×意味）,alive_prawn4206,15,15,2026-04-06T00:00:00+09:00,2026-04-12T23:59:59.999999+09:00,2026-04-19T08:22:27.546065+09:00
last_week,2026-04-07,11634537,ナオユキ｜物語と知識のコンシェルジュ,ai_naoyuki,28,77,2026-04-06T00:00:00+09:00,2026-04-12T23:59:59.999999+09:00,2026-04-19T08:22:27.546065+09:00
last_week,2026-04-07,7547534,メイシン,mei_shin,84,84,2026-04-06T00:00:00+09:00,2026-04-12T23:59:59.999999+09:00,2026-04-19T08:22:27.546065+09:00
last_week,2026-04-07,12589788,ういろう,tsubakinu,8,16,2026-04-06T00:00:00+09:00,2026-04-12T23:59:59.999999+09:00,2026-04-19T08:22:27.546065+09:00
last_week,2026-04-07,2490558,だんだんありがと@めじゅ,dandan_arigato19,8,28,2026-04-06T00:00:00+09:00,2026-04-12T23:59:59.999999+09:00,2026-04-19T08:22:27.546065+09:00
last_week,2026-04-07,10332488,ななな（菜奈）｜もやもや減らし屋👀♡🗣️よはくの哲学（ナラティヴ×構造×意味）,alive_prawn4206,15,30,2026-04-06T00:00:00+09:00,2026-04-12T23:59:59.999999+09:00,2026-04-19T08:22:27.546065+09:00
last_week,2026-04-08,11634537,ナオユキ｜物語と知識のコンシェルジュ,ai_naoyuki,67,144,2026-04-06T00:00:00+09:00,2026-04-12T23:59:59.999999+09:00,2026-04-19T08:22:27.546065+09:00
last_week,2026-04-08,7547534,メイシン,mei_shin,10,94,2026-04-06T00:00:00+09:00,2026-04-12T23:59:59.999999+09:00,2026-04-19T08:22:27.546065+09:00
last_week,2026-04-08,12589788,ういろう,tsubakinu,8,24,2026-04-06T00:00:00+09:00,2026-04-12T23:59:59.999999+09:00,2026-04-19T08:22:27.546065+09:00
last_week,2026-04-08,2490558,だんだんありがと@めじゅ,dandan_arigato19,8,36,2026-04-06T00:00:00+09:00,2026-04-12T23:59:59.999999+09:00,2026-04-19T08:22:27.546065+09:00
last_week,2026-04-08,10332488,ななな（菜奈）｜もやもや減らし屋👀♡🗣️よはくの哲学（ナラティヴ×構造×意味）,alive_prawn4206,15,45,2026-04-06T00:00:00+09:00,2026-04-12T23:59:59.999999+09:00,2026-04-19T08:22:27.546065+09:00
last_week,2026-04-09,11634537,ナオユキ｜物語と知識のコンシェルジュ,ai_naoyuki,11,155,2026-04-06T00:00:00+09:00,2026-04-12T23:59:59.999999+09:00,2026-04-19T08:22:27.546065+09:00
last_week,2026-04-09,7547534,メイシン,mei_shin,0,94,2026-04-06T00:00:00+09:00,2026-04-12T23:59:59.999999+09:00,2026-04-19T08:22:27.546065+09:00
last_week,2026-04-09,12589788,ういろう,tsubakinu,8,32,2026-04-06T00:00:00+09:00,2026-04-12T23:59:59.999999+09:00,2026-04-19T08:22:27.546065+09:00
last_week,2026-04-09,2490558,だんだんありがと@めじゅ,dandan_arigato19,18,54,2026-04-06T00:00:00+09:00,2026-04-12T23:59:59.999999+09:00,2026-04-19T08:22:27.546065+09:00
last_week,2026-04-09,10332488,ななな（菜奈）｜もやもや減らし屋👀♡🗣️よはくの哲学（ナラティヴ×構造×意味）,alive_prawn4206,15,60,2026-04-06T00:00:00+09:00,2026-04-12T23:59:59.999999+09:00,2026-04-19T08:22:27.546065+09:00
last_week,2026-04-10,11634537,ナオユキ｜物語と知識のコンシェルジュ,ai_naoyuki,42,197,2026-04-06T00:00:00+09:00,2026-04-12T23:59:59.999999+09:00,2026-04-19T08:22:27.546065+09:00
last_week,2026-04-10,7547534,メイシン,mei_shin,30,124,2026-04-06T00:00:00+09:00,2026-04-12T23:59:59.999999+09:00,2026-04-19T08:22:27.546065+09:00
last_week,2026-04-10,12589788,ういろう,tsubakinu,5,37,2026-04-06T00:00:00+09:00,2026-04-12T23:59:59.999999+09:00,2026-04-19T08:22:27.546065+09:00
last_week,2026-04-10,2490558,だんだんありがと@めじゅ,dandan_arigato19,70,124,2026-04-06T00:00:00+09:00,2026-04-12T23:59:59.999999+09:00,2026-04-19T08:22:27.546065+09:00
last_week,2026-04-10,10332488,ななな（菜奈）｜もやもや減らし屋👀♡🗣️よはくの哲学（ナラティヴ×構造×意味）,alive_prawn4206,15,75,2026-04-06T00:00:00+09:00,2026-04-12T23:59:59.999999+09:00,2026-04-19T08:22:27.546065+09:00
last_week,2026-04-11,11634537,ナオユキ｜物語と知識のコンシェルジュ,ai_naoyuki,28,225,2026-04-06T00:00:00+09:00,2026-04-12T23:59:59.999999+09:00,2026-04-19T08:22:27.546065+09:00
last_week,2026-04-11,7547534,メイシン,mei_shin,0,124,2026-04-06T00:00:00+09:00,2026-04-12T23:59:59.999999+09:00,2026-04-19T08:22:27.546065+09:00
last_week,2026-04-11,12589788,ういろう,tsubakinu,105,142,2026-04-06T00:00:00+09:00,2026-04-12T23:59:59.999999+09:00,2026-04-19T08:22:27.546065+09:00
last_week,2026-04-11,2490558,だんだんありがと@めじゅ,dandan_arigato19,18,142,2026-04-06T00:00:00+09:00,2026-04-12T23:59:59.999999+09:00,2026-04-19T08:22:27.546065+09:00
last_week,2026-04-11,10332488,ななな（菜奈）｜もやもや減らし屋👀♡🗣️よはくの哲学（ナラティヴ×構造×意味）,alive_prawn4206,30,105,2026-04-06T00:00:00+09:00,2026-04-12T23:59:59.999999+09:00,2026-04-19T08:22:27.546065+09:00
