集計日,key,タイトル,Age,観測遅延日数,観測日数,累計PV,累計スキ,コメント数,スキ率(%),スキ率トレンド(pp),後期14日平均PV,初速PV(7日),ピーク日次PV,ピーク到達日数,ハーフライフ(日),中期平均PV,後期平均PV,持続率,安定性スコア,成長タイプ,質スコア
2026-04-17,n204ca8f1a30a,AIを毎日召喚してた人を、召喚してみた話｜創作｜AI活用｜召喚企画｜,11,0,12,610,95,37,15.57,-0.26,50.83,595.0,445.0,0.0,2.0,3.8,,,0.287,🎆 バースト型,69.5
2026-04-17,n752e308d78e3,AIに「こんな感じで作って」が一発で伝わる魔法のファイルを知ってる？｜生成AI｜デザイン｜AI活用｜,9,0,10,537,40,5,7.45,-1.35,53.7,517.0,268.0,0.0,2.0,10.0,,,0.409,🎆 バースト型,69.4
2026-04-17,nace51bade3c8,軽いノリで始めた会員証が、気づけば祭りになっていた話｜note運用｜記事｜つながり｜デザイン｜創作｜,21,0,22,557,67,38,12.03,-0.46,1.43,537.0,337.0,0.0,2.0,1.4,,,0.295,🎆 バースト型,69.4
2026-04-17,nf08466dc09bb,"50,000view到達ログ：今日だけはドヤらせて",81,1,81,371,38,11,10.24,-0.01,0.21,24.0,6.0,4.0,2.0,0.4,0.4,0.117,0.473,🎆 バースト型,69.3
2026-04-17,na78164f7ade7,3月の月間ランキング発表｜応援の軌跡を残すアーカイブ｜note運用｜学び｜日記｜日常｜振り返り｜,16,0,17,418,72,26,17.22,-0.58,2.64,406.0,324.0,0.0,2.0,1.3,,,0.274,🎆 バースト型,69.2
2026-04-17,n523dbbb83efb,やさしい顔の裏に、設計図がおった話｜創作｜AI活用｜生成AI｜画像生成AI｜,18,0,19,568,104,35,18.31,-0.32,2.86,547.0,381.0,0.0,2.0,1.9,,,0.271,🎆 バースト型,69.1
2026-04-17,na174a3a630f3,5名予定がXX名に。KITAcore召喚企画を5名＋αで続行します｜note｜創作｜AI活用｜生成AI｜,24,0,25,580,71,27,12.24,-1.05,1.64,545.0,311.0,0.0,3.0,2.1,,,0.279,🎆 バースト型,69.0
2026-04-17,n334ef1190d54,コラボ企画｜過去作を再利用してクリエイターを召喚する企画｜コラボ創作の新しい形｜画像生成AI｜創作｜実験｜note運用｜,26,0,27,555,75,44,13.51,-0.36,1.29,517.0,309.0,0.0,3.0,2.0,,,0.27,🎆 バースト型,68.9
2026-04-17,n8da8091b30f1,読まれ方でViewは変わるのか。314文字と383文字で実験してみた結果｜note運営｜記事｜,25,0,26,391,57,22,14.58,-1.11,0.5,374.0,262.0,0.0,2.0,0.9,,,0.27,🎆 バースト型,68.9
2026-04-17,n7c0ac8c69fcb,会員証のついでに、FC動画まで作ってもうた話｜ファンクラブ｜ダルメイ｜AI動画｜,27,0,28,526,64,34,12.17,-0.63,0.5,498.0,313.0,0.0,3.0,1.4,,,0.279,🎆 バースト型,68.9
2026-04-17,nb8e8de0aabb8,表紙の一枚から写真集をつくれるのか。｜AIアート｜画像生成｜クリエイティブ｜,29,0,30,584,100,33,17.12,-0.08,1.36,541.0,370.0,0.0,2.0,2.0,,,0.253,🎆 バースト型,68.5
2026-04-17,n7f472192316e,noteダッシュボードを“分析画面”から“ハブ”に作り直した話｜note運営｜ダッシュボード｜データ分析｜UXデザイン｜,28,0,29,462,63,24,13.64,-0.82,0.93,433.0,287.0,0.0,2.0,1.4,,,0.258,🎆 バースト型,68.5
2026-04-17,nae521725949f,スタバが多い街は、本当に都会なのか？──“緑の女神”が暴く日本のリアル。,190,37,152,266,18,0,6.77,1.11,0.36,,,,,,,,0.42,💤 眠り型,68.4
2026-04-17,n8267f9389393,月曜に見かけるあの存在を、勝手に推すことにした｜非公認クラブ｜Monday｜ダルメイ｜,30,0,31,825,79,78,9.58,-0.79,5.0,693.0,346.0,0.0,3.0,5.7,,,0.295,🎆 バースト型,68.4
